COD;DESCRIÇÃO;CATEGORIA;PREÇO UNITÁRIO;ID LOJA;MOVIMENTAÇÃO;TIPO
MOV00099;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA B;2;ENTRADA
MOV00100;REGATA FEM. CINZA;ROUPAS;59,99;LOJA E;2;ENTRADA
MOV00101;AGAS. FEM. ACAD. CINZA;ROUPAS;59,99;LOJA C;-1;SAÍDA
MOV00102;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA C;1;ENTRADA
MOV00103;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA B;-1;SAÍDA
MOV00104;CASACO FEM. ACADEMIA;ROUPAS;209,99;LOJA B;-1;SAÍDA
MOV00105;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA A;-3;SAÍDA
MOV00106;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA C;-1;SAÍDA
MOV00107;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA C;-1;SAÍDA
MOV00108;BOLSA FIT. GRANDE;ACESSÓRIOS;169,99;LOJA A;-1;SAÍDA
MOV00109;REGATA FEM. ROSA;ROUPAS;89,99;LOJA C;4;ENTRADA
MOV00110;LUVA MUSC. CINZA;ACESSÓRIOS;45,99;LOJA B;1;ENTRADA
MOV00111;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA E;-1;SAÍDA
MOV00112;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA A;1;ENTRADA
MOV00113;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;7;ENTRADA
MOV00114;BOLSA FIT. PEQUENA;ACESSÓRIOS;69,99;LOJA E;-1;SAÍDA
MOV00115;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA B;-2;SAÍDA
MOV00116;REGATA FEM. CINZA;ROUPAS;59,99;LOJA B;1;ENTRADA
MOV00117;REGATA FEM. AZUL;ROUPAS;89,99;LOJA C;3;ENTRADA
MOV00118;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA C;-4;SAÍDA
MOV00119;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA C;1;ENTRADA
MOV00120;BERM. FIT. FEM. CINZA;ROUPAS;109,99;LOJA E;-1;SAÍDA
MOV00121;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA A;1;ENTRADA
MOV00122;LUVA MUSC. CINZA;ACESSÓRIOS;45,99;LOJA D;-1;SAÍDA
MOV00123;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA C;1;ENTRADA
MOV00124;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA A;-2;SAÍDA
MOV00125;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA D;8;ENTRADA
MOV00126;REGATA FEM. PRETA;ROUPAS;79,99;LOJA B;-1;SAÍDA
MOV00127;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA A;-1;SAÍDA
MOV00128;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA D;3;ENTRADA
MOV00129;LUVA MUSC. CINZA;ACESSÓRIOS;45,99;LOJA C;-1;SAÍDA
MOV00130;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;4;ENTRADA
MOV00131;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA D;3;ENTRADA
MOV00132;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA B;1;ENTRADA
MOV00133;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA A;-1;SAÍDA
MOV00134;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA A;7;ENTRADA
MOV00135;JAQUETA FIT. FEM. AZUL;ROUPAS;189,99;LOJA A;1;ENTRADA
MOV00136;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA D;-2;SAÍDA
MOV00137;REGATA FEM. AZUL;ROUPAS;89,99;LOJA E;5;DEVOLUÇÃO
MOV00138;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA B;1;DEVOLUÇÃO
MOV00139;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA C;-1;SAÍDA
MOV00140;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA E;1;DEVOLUÇÃO
MOV00141;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA C;1;ENTRADA
MOV00142;AGAS. FEM. ACAD. CINZA;ROUPAS;59,99;LOJA B;1;ENTRADA
MOV00143;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA E;8;ENTRADA
MOV00144;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA A;-1;SAÍDA
MOV00145;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA E;1;DEVOLUÇÃO
MOV00146;REGATA FEM. PRETA;ROUPAS;79,99;LOJA A;-1;SAÍDA
MOV00147;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA A;1;DEVOLUÇÃO
MOV00148;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA B;4;ENTRADA
MOV00149;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA D;-1;SAÍDA
MOV00150;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA A;2;DEVOLUÇÃO
MOV00151;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA A;1;ENTRADA
MOV00152;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA D;2;ENTRADA
MOV00153;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA A;-3;SAÍDA
MOV00154;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA D;2;ENTRADA
MOV00155;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA A;1;ENTRADA
MOV00156;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA B;-2;SAÍDA
MOV00157;TÊNIS ACAD. FEM. ROSA;CALÇADOS;139,99;LOJA E;1;ENTRADA
MOV00158;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA B;-1;SAÍDA
MOV00159;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA D;1;ENTRADA
MOV00160;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;2;ENTRADA
MOV00161;MEIA DE COR. PRETA;CALÇADOS;44,99;LOJA E;-3;SAÍDA
MOV00162;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA A;4;ENTRADA
MOV00163;BOLSA FIT. PEQUENA;ACESSÓRIOS;69,99;LOJA E;12;ENTRADA
MOV00164;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA C;1;DEVOLUÇÃO
MOV00165;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA D;2;DEVOLUÇÃO
MOV00166;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;-3;SAÍDA
MOV00167;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA A;3;DEVOLUÇÃO
MOV00168;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA D;3;ENTRADA
MOV00169;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA C;2;ENTRADA
MOV00170;REGATA FEM. PRETA;ROUPAS;79,99;LOJA C;-2;SAÍDA
MOV00171;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA B;1;ENTRADA
MOV00172;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA A;-3;SAÍDA
MOV00173;MEIA DE COR. PRETA;CALÇADOS;44,99;LOJA D;1;ENTRADA
MOV00174;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA A;1;ENTRADA
MOV00175;BERM. FIT. FEM. CINZA;ROUPAS;109,99;LOJA E;-1;SAÍDA
MOV00176;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA C;-1;SAÍDA
MOV00177;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA C;2;ENTRADA
MOV00178;REGATA FEM. ROSA;ROUPAS;89,99;LOJA B;-3;SAÍDA
MOV00179;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA C;-1;SAÍDA
MOV00180;REGATA FEM. PRETA;ROUPAS;79,99;LOJA A;3;ENTRADA
MOV00181;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;5;ENTRADA
MOV00182;BOLSA FIT. GRANDE;ACESSÓRIOS;169,99;LOJA A;1;ENTRADA
MOV00183;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA D;1;ENTRADA
MOV00184;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA C;9;ENTRADA
MOV00185;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA D;1;ENTRADA
MOV00186;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA C;4;ENTRADA
MOV00187;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA D;1;ENTRADA
MOV00188;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA D;-1;SAÍDA
MOV00189;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA D;-1;SAÍDA
MOV00190;REGATA FEM. PRETA;ROUPAS;79,99;LOJA C;-7;SAÍDA
MOV00191;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;1;ENTRADA
MOV00192;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA C;1;ENTRADA
MOV00193;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA A;-2;SAÍDA
MOV00194;REGATA FEM. CINZA;ROUPAS;59,99;LOJA D;1;ENTRADA
MOV00195;REGATA FEM. PRETA;ROUPAS;79,99;LOJA A;10;ENTRADA
MOV00196;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA C;-5;SAÍDA
MOV00197;REGATA FEM. PRETA;ROUPAS;79,99;LOJA A;-1;SAÍDA
MOV00198;AGAS. FEM. ACAD. CINZA;ROUPAS;59,99;LOJA C;-1;SAÍDA
MOV00199;REGATA FEM. ROSA;ROUPAS;89,99;LOJA B;-2;SAÍDA
MOV00200;REGATA FEM. PRETA;ROUPAS;79,99;LOJA C;-6;SAÍDA
MOV00201;CASACO FEM. ACADEMIA;ROUPAS;209,99;LOJA B;1;ENTRADA
MOV00202;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA E;-6;SAÍDA
MOV00203;TÊNIS ACAD. FEM. ROSA;CALÇADOS;139,99;LOJA A;-1;SAÍDA
MOV00204;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA E;-1;SAÍDA
MOV00205;REGATA FEM. ROSA;ROUPAS;89,99;LOJA D;2;DEVOLUÇÃO
MOV00206;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA C;3;ENTRADA
MOV00207;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA B;-1;SAÍDA
MOV00208;REGATA FEM. ROSA;ROUPAS;89,99;LOJA C;1;ENTRADA
MOV00209;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA C;4;ENTRADA
MOV00210;TÊNIS ACAD. FEM. ROSA;CALÇADOS;139,99;LOJA A;-5;SAÍDA
MOV00211;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA B;2;ENTRADA
MOV00212;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA D;-1;SAÍDA
MOV00213;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA B;-1;SAÍDA
MOV00214;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA B;-2;SAÍDA
MOV00215;JAQUETA FIT. FEM. AZUL;ROUPAS;189,99;LOJA B;2;ENTRADA
MOV00216;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA B;5;ENTRADA
MOV00217;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA A;-1;SAÍDA
MOV00218;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA C;-1;SAÍDA
MOV00219;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA A;3;ENTRADA
MOV00220;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA D;3;DEVOLUÇÃO
MOV00221;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA D;1;ENTRADA
MOV00222;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;-2;SAÍDA
MOV00223;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA C;2;ENTRADA
MOV00224;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA B;2;ENTRADA
MOV00225;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA D;-2;SAÍDA
MOV00226;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA C;1;ENTRADA
MOV00227;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA B;5;ENTRADA
MOV00228;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA A;1;ENTRADA
MOV00229;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;1;DEVOLUÇÃO
MOV00230;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA C;1;ENTRADA
MOV00231;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA A;4;ENTRADA
MOV00232;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA B;3;DEVOLUÇÃO
MOV00233;CASACO FEM. ACADEMIA;ROUPAS;209,99;LOJA B;1;DEVOLUÇÃO
MOV00234;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA B;-2;SAÍDA
MOV00235;MEIA DE COR. PRETA;CALÇADOS;44,99;LOJA D;1;ENTRADA
MOV00236;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA B;2;ENTRADA
MOV00237;REGATA FEM. CINZA;ROUPAS;59,99;LOJA C;7;ENTRADA
MOV00238;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA D;1;ENTRADA
MOV00239;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;-1;SAÍDA
MOV00240;REGATA FEM. CINZA;ROUPAS;59,99;LOJA D;-4;SAÍDA
MOV00241;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA D;-1;SAÍDA
MOV00242;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA E;2;ENTRADA
MOV00243;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;-3;SAÍDA
MOV00244;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA D;2;ENTRADA
MOV00245;CASACO FEM. ACADEMIA;ROUPAS;209,99;LOJA C;-1;SAÍDA
MOV00246;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA C;-2;SAÍDA
MOV00247;REGATA FEM. ROSA;ROUPAS;89,99;LOJA E;2;ENTRADA
MOV00248;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA A;-10;SAÍDA
MOV00249;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;-2;SAÍDA
MOV00250;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA B;1;ENTRADA
MOV00251;REGATA FEM. CINZA;ROUPAS;59,99;LOJA C;1;ENTRADA
MOV00252;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA E;-2;SAÍDA
MOV00253;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA C;1;ENTRADA
MOV00254;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA C;1;ENTRADA
MOV00255;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA D;4;ENTRADA
MOV00256;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA B;-1;SAÍDA
MOV00257;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA C;-1;SAÍDA
MOV00258;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA B;2;ENTRADA
MOV00259;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;-2;SAÍDA
MOV00260;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA D;-3;SAÍDA
MOV00261;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA C;-1;SAÍDA
MOV00262;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA C;2;ENTRADA
MOV00263;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA A;4;ENTRADA
MOV00264;REGATA FEM. AZUL;ROUPAS;89,99;LOJA C;2;ENTRADA
MOV00265;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA B;1;ENTRADA
MOV00266;REGATA FEM. ROSA;ROUPAS;89,99;LOJA B;-2;SAÍDA
MOV00267;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA A;1;ENTRADA
MOV00268;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA E;1;ENTRADA
MOV00269;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA B;3;ENTRADA
MOV00270;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA B;-4;SAÍDA
MOV00271;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA A;1;ENTRADA
MOV00272;REGATA FEM. CINZA;ROUPAS;59,99;LOJA B;-1;SAÍDA
MOV00273;REGATA FEM. AZUL;ROUPAS;89,99;LOJA C;1;ENTRADA
MOV00274;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA B;-4;SAÍDA
MOV00275;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA A;1;ENTRADA
MOV00276;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA A;-1;SAÍDA
MOV00277;REGATA FEM. PRETA;ROUPAS;79,99;LOJA B;-3;SAÍDA
MOV00278;REGATA FEM. AZUL;ROUPAS;89,99;LOJA B;3;ENTRADA
MOV00279;REGATA FEM. ROSA;ROUPAS;89,99;LOJA A;-2;SAÍDA
MOV00280;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;3;ENTRADA
